
D:\test_equipment_configuration\C919_ICD_Processor\Ads2Gen>C:\Python27\python D:\test_equipment_configuration\C919_ICD_Processor\Ads2Gen\ADS2CONFIG.py -c -m -s --loglevel=INFO  --outdir=D:\test_equipment_configuration\ICD_output\BP5.1.1\ADS2\SSDL#1\A429 --devmap=D:\test_equipment_configuration\C919_ICD_Processor\DeviceMap\SSDL_DEVMAP-5.1.1-5.1.xlsx --mode=stim --inputtype=Excel --hfname=HF_IDUCENTER --workdir="D:\test_equipment_configuration\ICD_output\BP5.1.1\Excel\A429" 
2018-08-03 15:46:23 [INFO_] Start the Ads2 configuration files generate....
Coming in Analysis Excel...
Now Processing HF_IDUCENTER
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_AOC_INSTANCE.AOC_A661_BLOCK_DU5 siglru: APP_AOC_INSTANCE
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_ATS_INSTANCE.ATS_A661_BLOCK_DU5 siglru: APP_ATS_INSTANCE
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_CSA_INSTANCE.CSA_A661_BLOCK_DU5 siglru: APP_CSA_INSTANCE
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_2_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
2018-08-03 15:46:25 [ERROR] the signal can not found msg APP_FMS_CORE_1.ARINC429_MIX_MSG_CORE siglru: APP_FMS_CORE_1
